Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-23T18:42:43.683Z","Included","auto","No","4209","1579","28648","1338","35774","0.02"
"2025-10-23T18:40:45.635Z","Included","auto","No","2934","3378","23538","2287","32137","0.03"
"2025-10-23T18:37:32.736Z","Included","auto","No","2317","2646","43773","1879","50615","0.03"
"2025-10-23T17:41:37.743Z","Included","auto","No","923","1065","33344","125","35457","0.01"
"2025-10-23T17:39:28.501Z","Included","auto","No","5301","7229","351600","2121","366251","0.12"
"2025-10-23T17:35:29.135Z","Included","auto","No","9448","1363","184670","1052","196533","0.07"
"2025-10-23T17:34:14.924Z","Included","auto","No","1357","1003","64229","393","66982","0.02"
"2025-10-23T17:33:23.872Z","Included","auto","No","7863","1028","50423","376","59690","0.03"
"2025-10-23T17:27:05.967Z","Included","auto","No","3749","1555","476913","1748","483965","0.14"
"2025-10-23T17:24:32.470Z","Included","auto","No","3010","1120","388119","1366","393615","0.11"
"2025-10-23T17:21:30.529Z","Included","auto","No","16565","3039","398020","5712","423336","0.16"
"2025-10-23T17:17:19.307Z","Included","auto","No","69849","9398","1472704","4598","1556549","0.49"
"2025-10-23T17:12:51.610Z","Included","auto","No","2938","787","288378","1336","293439","0.08"
"2025-10-23T17:11:11.944Z","Included","auto","No","3487","1449","343204","1676","349816","0.10"
"2025-10-23T17:07:45.382Z","Included","auto","No","28643","1073","804750","4444","838910","0.26"
"2025-10-23T16:55:51.042Z","Included","auto","No","14545","2220","689992","4516","711273","0.22"
"2025-10-23T16:51:45.335Z","Included","auto","No","48224","1853","326910","3341","380328","0.16"
"2025-10-23T16:43:00.420Z","Included","auto","No","66752","2499","860612","6310","936173","0.34"
"2025-10-23T16:30:46.997Z","Included","auto","No","7452","1835","1024746","3391","1037424","0.29"
"2025-10-23T16:24:29.715Z","Included","auto","No","5568","1920","643155","2888","653531","0.19"
"2025-10-23T16:20:29.086Z","Included","auto","No","101649","1448","4634","712","108443","0.13"
"2025-10-23T15:59:21.489Z","Included","auto","No","31677","936","970966","2940","1006519","0.30"
"2025-10-23T15:51:39.997Z","Included","auto","No","35121","2440","720616","2860","761037","0.24"
"2025-10-23T15:42:59.048Z","Included","auto","No","64358","1057","737710","24935","828060","0.42"
"2025-10-23T15:35:53.702Z","Included","auto","No","14234","2326","770133","6193","792886","0.25"
"2025-10-23T15:17:52.728Z","Included","auto","No","25978","2277","1190749","12756","1231760","0.41"
"2025-10-23T15:16:55.390Z","Included","auto","No","13363","1464","9232","470","24529","0.02"
"2025-10-23T15:12:24.694Z","Included","auto","No","2806","1513","9247","440","14006","0.01"
"2025-10-23T14:38:10.532Z","Included","auto","No","18321","1896","415125","2839","438181","0.15"
"2025-10-23T14:19:24.904Z","Included","auto","No","1900","1513","45095","1290","49798","0.02"
"2025-10-23T14:14:26.627Z","Included","auto","No","13915","1433","39518","1286","56152","0.04"
"2025-10-23T08:23:41.490Z","Included","auto","No","6255","4391","71267","2037","83950","0.04"
"2025-10-23T08:21:53.892Z","Included","auto","No","1049","4125","32395","1492","39061","0.02"
"2025-10-23T08:18:15.769Z","Included","auto","No","9966","18573","186116","1049","215704","0.09"
"2025-10-23T08:11:32.467Z","Included","auto","No","496","1342","14024","492","16354","0.01"
"2025-10-23T08:08:41.540Z","Included","auto","No","4959","894","139784","870","146507","0.05"
"2025-10-23T07:58:30.567Z","Included","auto","No","1766","1284","202322","770","206142","0.06"
"2025-10-23T07:52:47.675Z","Included","auto","No","13355","1931","464640","10068","489994","0.20"
"2025-10-23T07:49:23.499Z","Included","auto","No","2004","1209","108297","939","112449","0.04"
"2025-10-23T07:47:44.333Z","Included","auto","No","5494","1339","78961","795","86589","0.03"
"2025-10-23T07:36:44.944Z","Included","auto","No","59522","1699","902906","1828","965955","0.31"
"2025-10-23T07:32:17.502Z","Included","auto","No","88232","1762","1180904","4053","1274951","0.43"
"2025-10-23T07:30:50.542Z","Included","auto","No","934","803","56286","78","58101","0.02"
"2025-10-23T07:26:27.174Z","Included","auto","No","48286","1884","858128","6914","915212","0.32"
"2025-10-23T07:08:37.385Z","Included","auto","No","35771","762","120936","10889","168358","0.14"
"2025-10-23T06:38:34.741Z","Included","auto","No","0","824","1229","19","2072","0.001"
"2025-10-23T06:38:26.457Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-10-23T06:36:09.201Z","Included","auto","No","0","802","1216","16","2034","0.001"
"2025-10-23T06:34:08.856Z","Included","auto","No","14844","972","8049","9102","32967","0.08"
"2025-10-22T11:14:05.794Z","Included","auto","No","832","1049","92228","638","94747","0.03"
"2025-10-22T11:12:16.684Z","Included","auto","No","14979","1022","124814","907","141722","0.06"
"2025-10-22T10:04:38.634Z","Included","auto","No","10017","1916","299678","3366","314977","0.11"
"2025-10-22T09:54:58.149Z","Included","auto","No","52193","3487","1013855","3019","1072554","0.34"
